symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl_usd,pnl_pct,exit_reason,fg_at_entry,fg_at_exit
BTCUSDT,2024-01-10 18:00:00+00:00,2024-01-11 15:00:00+00:00,46527.33,46783.78,0.3231514952546175,82.8722,0.5512,trail_stop,72,74
BNBUSDT,2024-01-11 02:00:00+00:00,2024-01-11 15:00:00+00:00,305.5,307.4,49.21563423798698,93.5097,0.6219,trail_stop,74,74
ETHUSDT,2024-01-13 21:00:00+00:00,2024-01-14 05:00:00+00:00,2573.28,2552.64,5.877155697285228,-121.3045,-0.8021,ema_cross_down,63,63
BNBUSDT,2024-01-14 08:00:00+00:00,2024-01-14 23:00:00+00:00,304.9,299.5,49.402804086304194,-266.7751,-1.7711,trail_stop,63,63
ETHUSDT,2024-01-16 12:00:00+00:00,2024-01-16 13:00:00+00:00,2547.01,2525.81,5.861589626613608,-124.2657,-0.8323,ema_cross_down,61,61
CAKEUSDT,2024-01-15 07:00:00+00:00,2024-01-17 06:00:00+00:00,2.974,2.917,5020.015936409255,-286.1409,-1.9166,trail_stop,59,63
ETHUSDT,2024-01-16 14:00:00+00:00,2024-01-17 07:00:00+00:00,2534.31,2552.52,5.832772736531862,106.2148,0.7185,trail_stop,61,63
BNBUSDT,2024-01-19 10:00:00+00:00,2024-01-19 15:00:00+00:00,313.5,311.4,47.136942540406636,-98.9876,-0.6699,trail_stop,56,56
BNBUSDT,2024-01-26 11:00:00+00:00,2024-01-28 15:00:00+00:00,302.9,305.1,24.311551166639244,53.4854,0.7263,trail_stop,49,55
CAKEUSDT,2024-01-29 09:00:00+00:00,2024-01-29 14:00:00+00:00,2.593,2.556,5690.196838809624,-210.5373,-1.4269,ema_cross_down,55,55
CAKEUSDT,2024-01-29 15:00:00+00:00,2024-01-30 22:00:00+00:00,2.591,2.591,5653.96054091678,0.0,0.0,trail_stop,55,59
ETHUSDT,2024-01-29 16:00:00+00:00,2024-01-30 23:00:00+00:00,2299.49,2343.01,6.3707220999071,277.2538,1.8926,trail_stop,55,59
BTCUSDT,2024-02-01 23:00:00+00:00,2024-02-02 13:00:00+00:00,43082.94,42694.01,0.3432458108571364,-133.4986,-0.9027,trail_stop,56,57
ETHUSDT,2024-02-02 06:00:00+00:00,2024-02-02 13:00:00+00:00,2310.46,2292.02,6.4004737906777684,-118.0247,-0.7981,trail_stop,57,57
BNBUSDT,2024-02-04 16:00:00+00:00,2024-02-05 12:00:00+00:00,305.2,302.7,48.04153672821421,-120.1038,-0.8191,trail_stop,56,55
ETHUSDT,2024-02-05 09:00:00+00:00,2024-02-05 15:00:00+00:00,2320.81,2298.71,6.297040892069045,-139.1646,-0.9523,trail_stop,55,55
BTCUSDT,2024-02-05 12:00:00+00:00,2024-02-05 15:00:00+00:00,43255.36,42644.03,0.3373042024007812,-206.2042,-1.4133,trail_stop,55,55
BTCUSDT,2024-02-06 15:00:00+00:00,2024-02-07 03:00:00+00:00,43244.89,42800.0,0.33367042204654723,-148.4466,-1.0288,trail_stop,55,56
BNBUSDT,2024-02-06 18:00:00+00:00,2024-02-07 03:00:00+00:00,303.2,300.9,47.56630337714081,-109.4025,-0.7586,ema_cross_down,55,56
BNBUSDT,2024-02-07 08:00:00+00:00,2024-02-08 16:00:00+00:00,303.2,315.9,47.16562048727128,599.0034,4.1887,trail_stop,56,59
BNBUSDT,2024-02-12 19:00:00+00:00,2024-02-13 13:00:00+00:00,324.8,323.9,44.95110166821067,-40.456,-0.2771,trail_stop,68,72
ETHUSDT,2024-02-12 14:00:00+00:00,2024-02-13 14:00:00+00:00,2528.2,2633.26,5.774906186945189,606.7116,4.1555,trail_stop,68,72
CAKEUSDT,2024-02-14 07:00:00+00:00,2024-02-15 05:00:00+00:00,2.569,2.735,5793.4004079736715,961.7045,6.4617,trail_stop,71,75
BNBUSDT,2024-02-18 05:00:00+00:00,2024-02-18 16:00:00+00:00,355.0,350.9,43.279148963228664,-177.4445,-1.1549,ema_cross_down,74,74
ETHUSDT,2024-02-18 05:00:00+00:00,2024-02-20 03:00:00+00:00,2802.89,2907.0,5.481520103160016,570.6811,3.7144,trail_stop,74,74
BTCUSDT,2024-02-20 11:00:00+00:00,2024-02-20 14:00:00+00:00,52286.8,52048.74,0.2976031456417595,-70.8474,-0.4553,trail_stop,74,74
